,7597,12129,14133,12141,16147,12393,19788,17650,18820,10823,18828,7426,22082,19778,19597,20259
2019-04-17,8.97,3.53,6.85,6.255000000000001,7.63,4.77,2.57,4.3,,4.5,3.77,7.5,7.07,5.97,6.0,4.93
2019-04-18,16.3,6.0,10.35,9.4,10.67,5.6,4.33,9.675,,6.484999999999999,6.275,11.57,10.52,13.1,9.27,7.07
2019-04-19,10.33,5.53,8.184999999999999,6.37,8.25,5.2,4.0,7.23,,5.47,5.65,12.7,9.5,10.835,8.5,6.43
2019-04-20,10.67,4.97,8.53,5.07,8.83,5.77,4.6,5.285,,5.77,5.03,9.37,8.83,8.45,,7.1
2019-04-21,7.83,4.63,7.5,4.67,7.915,5.37,3.93,5.015000000000001,,5.53,5.3,8.13,9.1,7.17,,5.6
2019-04-22,6.23,4.43,7.7,4.62,7.73,4.9,4.3,,,5.5,5.27,7.57,7.62,8.19,,5.27
2019-04-23,17.03,10.33,16.67,10.23,17.4,11.83,10.33,11.075,,11.93,12.68,15.73,18.13,18.45,16.23,12.27
2019-04-24,31.7,15.35,24.185000000000002,16.67,26.6,17.4,17.73,21.33,,17.97,20.9,24.67,27.73,25.88,23.43,18.5
2019-04-25,33.685,23.17,33.25,21.77,34.1,25.2,22.97,31.67,,25.115000000000002,32.485,30.77,42.150000000000006,34.3,33.235,25.6
2019-04-26,23.57,17.7,24.0,15.74,25.15,17.75,17.03,20.625,,17.8,21.705,22.4,31.13,19.9,25.4,17.215
2019-04-27,16.165,12.684999999999999,16.9,12.36,18.87,14.3,13.03,15.03,,14.57,15.72,15.57,21.985,15.3,17.3,14.37
2019-04-28,7.4,6.63,8.5,6.35,7.83,6.75,6.03,7.15,,7.37,6.33,7.25,10.184999999999999,5.9,6.4,6.87
2019-04-29,6.67,4.37,8.184999999999999,5.085,8.13,5.47,3.23,4.93,,5.4,4.97,6.73,8.13,6.73,6.37,6.15
2019-04-30,7.13,5.13,9.47,5.17,9.9,5.67,4.73,5.0,,5.93,5.87,7.73,8.93,8.83,7.07,6.17
2019-05-01,9.015,8.1,11.2,7.6,11.85,8.1,7.67,7.76,,9.0,10.47,,14.35,11.1,11.27,8.67
2019-05-02,2.13,2.5,4.33,2.73,2.97,2.76,1.83,2.03,4.5,3.67,3.07,3.13,4.03,2.5,2.5149999999999997,
2019-05-03,2.97,2.4,4.6850000000000005,2.5,3.73,2.9,1.77,2.4,3.9,2.785,3.03,3.83,4.4,3.25,2.87,2.93
